Number,SMILES,IUPAC name,Name,MW
100,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,"3-{2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl}-2-methyl-4H,6H,7H,8H,9H-pyrido[1,2-a]pyrimidin-4-one",Risperidone,410.5
101,CCN1CCC[C@H]1CNC(=O)C1=CC(=CC=C1OC)S(N)(=O)=O,N-{[(2S)-1-ethylpyrrolidin-2-yl]methyl}-2-methoxy-5-sulfamoylbenzamide,(S)-(-)-Sulpiride,341.4
102,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,[2-(diphenylmethoxy)ethyl]dimethylamine hydrochloride,Diphenhydramine ,291.8
103,Cl.CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C,dimethyl[1-(10H-phenothiazin-10-yl)propan-2-yl]amine hydrochloride,Promethazine ,320.9
104,Cl.CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C\[N+]([O-])=O,[(Z)-1-({2-[({5-[(dimethylamino)methyl]furan-2-yl}methyl)sulfanyl]ethyl}amino)-2-nitroethenyl](methyl)amine hydrochloride,Ranitidine ,350.9
105,Cl.OC1=C2O[C@H]3C4=C(C[C@@]5(O)C6CC(C=C1)=C2[C@@]35CCN6CC1CC1)C1=C(N4)C=CC=C1,"(1S,2S,13R)-22-(cyclopropylmethyl)-14-oxa-11,22-diazaheptacyclo[13.9.1.0_,__.0_,__.0_,__.0_,__.0__,__]pentacosa-4(12),5(10),6,8,15,17,19(25)-heptaene-2,16-diol hydrochloride",Naltrindole ,451
106,Cl.C1CN=C(N1)C1COC2=C(O1)C=CC=C2,"2-(2,3-dihydro-1,4-benzodioxin-2-yl)-4,5-dihydro-1H-imidazole hydrochloride",Idazoxan ,240.7
107,Cl.FC1=CC=C(C=C1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1,"8-[4-(4-fluorophenyl)-4-oxobutyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one hydrochloride",Spiperone ,431.9
108,OC(C(O)C(O)=O)C(O)=O.CNC[C@H](O)C1=CC=C(O)C(O)=C1,"2,3-dihydroxybutanedioic acid; 4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol",L-(+)-Epinephrine tartrate,333.3
109,CC1=CC=CC(C)=C1NC1=NCCCS1,"N-(2,6-dimethylphenyl)-5,6-dihydro-4H-1,3-thiazin-2-amine",Xylazine ,220.3
110,O[C@H]([C@@H](O)C(O)=O)C(O)=O.NC[C@H](O)C1=CC=C(O)C(O)=C1,"(2R,3R)-2,3-dihydroxybutanedioic acid; 4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",Norepinephrine-(+)-tartrate L (-),319.3
111,OC(=O)\C=C\C(O)=O.OC(=O)\C=C\C(O)=O.OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12,"bis((2E)-but-2-enedioic acid); 2-[2-(4-{2-thia-9-azatricyclo[9.4.0.0_,_]pentadeca-1(15),3,5,7,9,11,13-heptaen-10-yl}piperazin-1-yl)ethoxy]ethan-1-ol",Quetiapine Fumarate,615.7
112,Cl.CC(C)NCC(O)COC1=CC=CC=C1CC=C,{2-hydroxy-3-[2-(prop-2-en-1-yl)phenoxy]propyl}(propan-2-yl)amine hydrochloride,Alprenolol ,285.8
113,Cl.CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,"(3-{2-azatricyclo[9.4.0.0_,_]pentadeca-1(11),3,5,7,12,14-hexaen-2-yl}propyl)dimethylamine hydrochloride",Imipramine ,316.9
114,ClC1=CC2=C(OC3=C(C=CC=C3)N=C2N2CCNCC2)C=C1,"13-chloro-10-(piperazin-1-yl)-2-oxa-9-azatricyclo[9.4.0.0_,_]pentadeca-1(11),3(8),4,6,9,12,14-heptaene",Amoxapine,313.8
115,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)[C@@]1([H])C[C@@H](CN2C)NS(=O)(=O)N(C)C,"{[(2R,4S,7R)-6,11-dimethyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(15),9,12(16),13-tetraen-4-yl]sulfamoyl}dimethylamine",Mesulergine ,362.5
116,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,Amfebutamone,239.7
117,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide,Metoclopramide ,299.8
118,O.CS(O)(=O)=O.OC1=C2O[C@H]3C4=C(C[C@@]5(O)[C@H]6CC(C=C1)=C2[C@@]35CCN6CC1CC1)C1=C(O4)C=CC=C1,"(1S,2S,13R,21R)-22-(cyclopropylmethyl)-11,14-dioxa-22-azaheptacyclo[13.9.1.0_,__.0_,__.0_,__.0_,__.0__,__]pentacosa-4(12),5(10),6,8,15,17,19(25)-heptaene-2,16-diol methanesulfonic acid hydrate",Naltriben methanesulfonate hydrate,529.6
119,CC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-yl acetate",Vitamin A acetate,328.5
120,[H][C@@]12CCCC[C@@]11CCN(\C=C\C)[C@@H]2CC2=C1C=C(O)C=C2,"(1R,9R,10R)-17-[(1E)-prop-1-en-1-yl]-17-azatetracyclo[7.5.3.0_,__.0_,_]heptadeca-2(7),3,5-trien-4-ol",Levallorphan ,283.4
121,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5,"(1S,5R,13R,14S,17S)-4-(cyclobutylmethyl)-12-oxa-4-azapentacyclo[9.6.1.0_,__.0_,__.0_,__]octadeca-7,9,11(18)-triene-10,14,17-triol",Nalbuphine ,357.4
122,C[N+](C)(C)CCOC(N)=O,2-(trimethylazaniumyl)ethyl carbamate,Carbamylcholine ,147.2
123,CC(C[N+](C)(C)C)OC(N)=O,1-(trimethylazaniumyl)propan-2-yl carbamate,Carbamyl-beta-methylcholine ,161.2
124,CCCC(=O)OCC[N+](C)(C)C,[2-(butanoyloxy)ethyl]trimethylazanium,Butyrylcholine ,174.3
125,NC(N)=NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,"3-[({2-[(diaminomethylidene)amino]-1,3-thiazol-4-yl}methyl)sulfanyl]-N-sulfamoylpropanimidamide",FAMOTIDINE,337.4
126,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,1-(4-tert-butylphenyl)-4-[4-(hydroxydiphenylmethyl)piperidin-1-yl]butan-1-ol,Terfenadine,471.7
127,NNC(=O)C1=CC=NC=C1,pyridine-4-carbohydrazide,Isoniazid,137.1
128,ClC1=C(CN2CCC3=C(C2)C=CS3)C=CC=C1,"5-[(2-chlorophenyl)methyl]-4H,5H,6H,7H-thieno[3,2-c]pyridine",Ticlopidine ,263.8
129,CCC(C)(C)C1=CC=C(CC(C)CN2C[C@H](C)O[C@H](C)C2)C=C1,"(2R,6S)-2,6-dimethyl-4-{2-methyl-3-[4-(2-methylbutan-2-yl)phenyl]propyl}morpholine",Amorolfine,317.5
130,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,(2R)-2-{2-[(1R)-1-(4-chlorophenyl)-1-phenylethoxy]ethyl}-1-methylpyrrolidine,Clemastine,343.9
131,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1,"2-{2-ethoxy-5-[(4-ethylpiperazin-1-yl)sulfonyl]phenyl}-5-methyl-7-propyl-1H,4H-imidazo[4,3-f][1,2,4]triazin-4-one",Vardenafil,488.6
132,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1,"N-{[(5S)-3-[3-fluoro-4-(morpholin-4-yl)phenyl]-2-oxo-1,3-oxazolidin-5-yl]methyl}acetamide",Linezolid,337.3
133,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1,"(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4-(acetyloxy)-15-{[(2R,3S)-3-{[(tert-butoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoyl]oxy}-1,9,12-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.0_,__.0_,_]heptadec-13-en-2-yl benzoate",Docetaxil,807.9
134,CN(C)CC\C=C1\C2=C(COC3=C1C=C(CC(O)=O)C=C3)C=CC=C2,"2-[(2Z)-2-[3-(dimethylamino)propylidene]-9-oxatricyclo[9.4.0.0_,_]pentadeca-1(11),3(8),4,6,12,14-hexaen-5-yl]acetic acid",Olopatadine,337.4
135,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,"3-{2-[4-(diphenylmethyl)piperazin-1-yl]ethyl} 5-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Manidipine,610.7
136,CC1=CC=C(C=C1)C(=O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O,"5-(4-methylbenzoyl)-3-nitrobenzene-1,2-diol",Tolcapone,273.2
137,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],"(10S,11S,14R,15S)-15-ethyl-14-ethynyl-14-hydroxytetracyclo[8.7.0.0_,_.0__,__]heptadeca-1,6,16-trien-5-one",Gestrinone,308.4
138,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,"(5-methyl-2-oxo-2H-1,3-dioxol-4-yl)methyl 4-(2-hydroxypropan-2-yl)-2-propyl-1-({4-[2-(1H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1H-imidazole-5-carboxylate",Olmesartan,558.6
139,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,"3-methyl 5-(2-methylpropyl) 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Nisoldipine,388.4
140,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1\C=C\C(=O)OC(C)(C)C)C(=O)OCC,"3,5-diethyl 4-{2-[(1E)-3-(tert-butoxy)-3-oxoprop-1-en-1-yl]phenyl}-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",Lacidipine,455.5
141,CN1CCN(CC1)C1=NC2=C(NC3=C1C=C(C)S3)C=CC=C2,"5-methyl-8-(4-methylpiperazin-1-yl)-4-thia-2,9-diazatricyclo[8.4.0.0_,_]tetradeca-1(10),3(7),5,8,11,13-hexaene",Olanzapine,312.4
142,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,"(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate",Lovastatin,404.5
143,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl,"6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine",Lamotrigine,256.1
144,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,6-[(1-methyl-4-nitro-1H-imidazol-5-yl)sulfanyl]-7H-purine,Azathioprine,277.3
145,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1,"5-{2-ethoxy-5-[(4-methylpiperazin-1-yl)sulfonyl]phenyl}-1-methyl-3-propyl-1H,6H,7H-pyrazolo[4,3-d]pyrimidin-7-one",Sildenafil,474.6
146,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O,"2-hydroxy-3-[(1r,4r)-4-(4-chlorophenyl)cyclohexyl]-1,4-dihydronaphthalene-1,4-dione",Atovaquone,366.8
147,ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl,"1-{2-[(7-chloro-1-benzothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole",Sertaconazole,437.8
148,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1,"1-{[(6R,7R)-7-[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetamido]-2-carboxylato-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl}-1-methylpyrrolidin-1-ium",Cefepime,480.6
149,ClC1=C(Cl)C(=CC=C1)N1CCN(CCCCOC2=CC3=C(CCC(=O)N3)C=C2)CC1,"7-{4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy}-1,2,3,4-tetrahydroquinolin-2-one",Aripiprazole,448.4
150,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(O)=O,"2-ethoxy-1-({4-[2-(1H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)-1H-1,3-benzodiazole-7-carboxylic acid",Candesartan,440.5
151,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=C1C=CC=C2,[(4-tert-butylphenyl)methyl](methyl)(naphthalen-1-ylmethyl)amine,Butenafine ,317.5
152,Cl.CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,"(2S,4S)-4-(ethylamino)-2-methyl-1,1-dioxo-2H,3H,4H-1__,7-thieno[2,3-b][1__]thiopyran-6-sulfonamide hydrochloride",Dorzolamide ,360.9
153,OC(=O)C(O)=O.CN(C)CCC[C@]1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1,"(1S)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-2-benzofuran-5-carbonitrile; oxalic acid",Escitalopram oxalate,414.4
154,CS(O)(=O)=O.CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,4-({2-butyl-5-[(1E)-2-carboxy-2-(thiophen-2-ylmethyl)eth-1-en-1-yl]-1H-imidazol-1-yl}methyl)benzoic acid; methanesulfonic acid,Eprosartan mesylate,520.6
155,[Na+].[O-]C(=O)CC1=CC=CC=C1,sodium 2-phenylacetate,Sodium Phenylacetate,158.1
156,OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1,(2E)-3-[4-(1H-imidazol-1-ylmethyl)phenyl]prop-2-enoic acid,Ozagrel,228.2
157,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,"(2E)-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl)-N,N-diethylprop-2-enamide",Entacapone,305.3
158,C[C@@H](O)[C@@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](OC(N)=O)[C@@H]1O)C1=CNC=N1)C(=O)NCCC1=NC(=CS1)C1=NC=C(S1)C(=O)NCCC[S+](C)C,"(3-{[2-(2-{2-[(2R,3R)-2-[(2S,3S,4R)-4-[(2R,3R)-2-({6-amino-2-[(1S)-1-{[(2S)-2-amino-2-carbamoylethyl]amino}-2-carbamoylethyl]-5-methylpyrimidin-4-yl}formamido)-3-{[(2R,3S,4S,5S,6S)-3-{[(2S,3S,4R,5R,6R)-4-(carbamoyloxy)-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-3-(1H-imidazol-4-yl)propanamido]-3-hydroxy-2-methylpentanamido]-3-hydroxybutanamido]ethyl}-1,3-thiazol-4-yl)-1,3-thiazol-5-yl]formamido}propyl)dimethylsulfanium",Bleomycin ,1415.6
159,CC1=CC2=C(OCC(CNC(C)(C)C)OC(=O)C3=CC=CC=C3)C=CC=C2N1,1-(tert-butylamino)-3-[(2-methyl-1H-indol-4-yl)oxy]propan-2-yl benzoate,Bopindolol ,380.5
160,Cl.NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,"N-carbamimidoyl-2-(2,6-dichlorophenyl)acetamide hydrochloride",Guanfacine ,282.6
161,Cl.ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,"5-chloro-N-(4,5-dihydro-1H-imidazol-2-yl)-2,1,3-benzothiadiazol-4-amine hydrochloride",Tizanidine ,290.2
162,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"(2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol",Meglumine,195.2
163,CC(C)NC[C@H](O)COC1=C2C=CC=CC2=CC=C1,[(2S)-2-hydroxy-3-(naphthalen-1-yloxy)propyl](propan-2-yl)amine,Propranolol S(-),259.3
164,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,[3-(9H-carbazol-4-yloxy)-2-hydroxypropyl][2-(2-methoxyphenoxy)ethyl]amine,Carvedilol,406.5
165,COCC1=C(N=C(C(C)C)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C1C1=CC=C(F)C=C1)C(C)C,"(3R,5S,6E)-7-[4-(4-fluorophenyl)-5-(methoxymethyl)-2,6-bis(propan-2-yl)pyridin-3-yl]-3,5-dihydroxyhept-6-enoic acid",Cerivastatin,459.6
166,CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(C(O)=CC=C1)C3=O,"methyl (1R,2R,4S)-4-{[(2R,4S,5S,6S)-4-(dimethylamino)-5-{[(2S,4S,5S,6S)-4-hydroxy-6-methyl-5-{[(2R,6S)-6-methyl-5-oxooxan-2-yl]oxy}oxan-2-yl]oxy}-6-methyloxan-2-yl]oxy}-2-ethyl-2,5,7-trihydroxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracene-1-carboxylate",Aclarubicin,811.9
167,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1,"ethyl 12-fluoro-8-methyl-9-oxo-2,4,8-triazatricyclo[8.4.0.0_,_]tetradeca-1(10),3,5,11,13-pentaene-5-carboxylate",Flumazenil,303.3
168,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(=O)NC1=CC=C(O)C=C1,"(2E,4E,6E,8E)-N-(4-hydroxyphenyl)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenamide",Fenretinide,391.5
169,COC1=CC2=C(C=C1OCCCN1CCOCC1)C(NC1=CC(Cl)=C(F)C=C1)=NC=N2,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-[3-(morpholin-4-yl)propoxy]quinazolin-4-amine,Gefitinib,446.9
170,CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,"2-methyl-1-[2-(propan-2-yl)pyrazolo[1,5-a]pyridin-3-yl]propan-1-one",Ibudilast,230.3
171,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC(=CC=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,N-(4-methyl-3-{[4-(pyridin-3-yl)pyrimidin-2-yl]amino}phenyl)-4-[(4-methylpiperazin-1-yl)methyl]benzamide,Imatinib,493.6
172,[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O)O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,"(7S,9S)-9-acetyl-7-{[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy}-6,9,11-trihydroxy-5,7,8,9,10,12-hexahydrotetracene-5,12-dione",Idarubicin,497.5
173,CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC1(CC(O)=O)CC1)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,2-[1-({[(1R)-1-{3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl}-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanyl}methyl)cyclopropyl]acetic acid,Montelukast,586.2
174,Cl.C[C@H](CC1=CC=CC=C1)N(C)CC#C,methyl[(2R)-1-phenylpropan-2-yl](prop-2-yn-1-yl)amine hydrochloride,(R)-(-)-Deprenyl ,223.7
175,ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=C2C=CC=C3)C=C1,N-(4-chlorophenyl)-4-(pyridin-4-ylmethyl)phthalazin-1-amine,Vatalanib,346.8
176,[H][C@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O)[C@@]1(C)O[C@@H]1CC=C(C)C,"(2E,4E,6E,8E)-10-{[(3R,4R,5S,6R)-5-methoxy-4-[(2R,3R)-2-methyl-3-(3-methylbut-2-en-1-yl)oxiran-2-yl]-1-oxaspiro[2.5]octan-6-yl]oxy}-10-oxodeca-2,4,6,8-tetraenoic acid",Fumagillin,458.5
177,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC(=C)C2=CC(=O)C=C[C@]12C,"(1S,2R,10R,11S,15S)-2,15-dimethyl-8-methylidenetetracyclo[8.7.0.0_,_.0__,__]heptadeca-3,6-diene-5,14-dione",Exemestane,296.4
178,[H][C@]1(\C=C\[C@@H](O)CCCCC)[C@H](O)CC(=O)[C@]1([H])C\C=C/CCCC(O)=O,"(5Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl]hept-5-enoic acid",Dinoprostone,352.5
179,CN(C)C(=N)NC(N)=N,"1-carbamimidamido-N,N-dimethylmethanimidamide",Metformin,129.2
180,ClC1=C(Cl)C2=C(C=C1)N=C1NC(=O)CN1C2,"6,7-dichloro-1H,2H,3H,5H-imidazolidino[2,1-b]quinazolin-2-one",Anagrelide,256.1
181,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,N-[4-(2-{[2-(4-methanesulfonamidophenoxy)ethyl](methyl)amino}ethyl)phenyl]methanesulfonamide,Dofetilide,441.6
182,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,"N-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine",Erlotinib,393.4
183,CN1[C@@H](C[C@H](O)C2=CC=CC=C2)CCC[C@H]1CC(=O)C1=CC=CC=C1,"2-[(2S,6R)-6-[(2S)-2-hydroxy-2-phenylethyl]-1-methylpiperidin-2-yl]-1-phenylethan-1-one",Lobeline,337.5
184,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,Melatonin,232.3
185,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,"(5Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]cyclopentyl]hept-5-enoic acid",Dinoprost,354.5
186,O=S(=O)(N1CCCNCC1)C1=C2C=CN=CC2=CC=C1,"5-(1,4-diazepane-1-sulfonyl)isoquinoline",HA1077,291.4
187,NC1=C2C(O)CCCC2=NC2=C1C=CC=C2,"9-amino-1,2,3,4-tetrahydroacridin-1-ol",Hydroxytacrine ,214.3
188,O=C1CCCN1CC#CCN1CCCC1,1-[4-(pyrrolidin-1-yl)but-2-yn-1-yl]pyrrolidin-2-one,Oxotremorine ,206.3
189,NC1=C2CCCCC2=NC2=CC=CC=C12,"1,2,3,4-tetrahydroacridin-9-amine",Tacrine,198.3
190,CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,"(2-{2,3-bis[2-(triethylazaniumyl)ethoxy]phenoxy}ethyl)triethylazanium",Gallamine ,510.8
191,COC1=CC=C2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24,"(1S,12S,14R)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.0_,__.0_,__]heptadeca-6,8,10(17),15-tetraen-14-ol",Galanthamine ,287.4
192,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1,"3,5-diamino-N-carbamimidoyl-6-chloropyrazine-2-carboxamide",Amiloride ,229.6
193,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,"3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",Amlodipine,408.9
194,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,"(2S,3S)-5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate",Diltiazem ,414.5
195,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,"3,5-dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Nifedipine,346.3
196,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,"3-(2-methoxyethyl) 5-propan-2-yl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Nimodipine,418.4
197,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC,"3-ethyl 5-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate",Nitrendipine,360.4
198,COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC,"2-(3,4-dimethoxyphenyl)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(propan-2-yl)pentanenitrile",Verapamil,454.6
